Time,Intensity
0.041933,660983
0.06355,644152
0.085417,653728
0.107033,651445
0.12865,605126
0.150267,629742
0.172133,619593
0.194017,575676
0.215633,586287
0.23725,581051
0.259117,576826
0.280733,569045
0.30235,553009
0.324217,564562
0.345833,581115
0.367717,570565
0.389333,539093
0.41095,553802
0.432817,537641
0.454433,556917
0.47605,519879
0.497917,509826
0.519533,513183
0.541417,534309
0.563033,542618
0.584633,515987
0.606517,523845
0.628133,550094
0.64975,530813
0.671617,495147
0.693233,543085
0.715117,505334
0.736717,545514
0.758333,487108
0.780217,528424
0.801833,505213
0.82345,547505
0.845317,519347
0.866933,491938
0.8888,505968
0.910417,507262
0.932033,555693
0.953917,495828
0.975533,529575
0.9974,502511
1.019017,534807
1.040883,513149
1.0625,501172
1.084117,517204
1.105733,517513
1.127617,497921
1.149217,526277
1.1711,479531
1.192717,497141
1.214583,499922
1.2362,508503
1.257817,482968
1.279433,490063
1.3013,508962
1.322917,479823
1.3448,505136
1.366417,476125
1.388283,497891
1.4099,479903
1.431517,510335
1.453133,500557
1.475,509255
1.496617,534338
1.5185,488476
1.540117,498162
1.561983,535784
1.5836,576139
1.605217,541043
1.626833,572022
1.6487,12800570
1.670317,809702990
1.6922,1179889753
1.7138,101587792
1.735683,301925661
1.7573,1009609294
1.778917,85288805
1.800533,17463439
1.8224,14472080
1.844283,8234708
1.865883,67989678
1.8875,648411134
1.909383,56126502
1.931,33785180
1.952617,22771365
1.974483,12661281
1.9961,46159078
2.017967,19137608
2.039583,72220046
2.0612,16030656
2.083083,14440397
2.1047,43406433
2.1263,6182263
2.148183,3966925
2.1698,3039535
2.191667,35989851
2.213283,38141510
2.2349,137600794
2.256783,1362144493
2.278383,46554538
2.3,36760176
2.321883,12641680
2.3435,19954722
2.365367,7332612
2.386983,28641257
2.4086,11108083
2.430467,3252512
2.452083,2996540
2.4737,10318742
2.495583,9493959
2.5172,1968880
2.539067,4519552
2.560683,19169626
2.5823,20877486
2.604167,16636994
2.625783,11980009
2.647667,22688165
2.669283,10200370
2.69115,6702399
2.712767,11536399
2.734383,84197086
2.756,23518821
2.777867,18374132
2.799483,31748013
2.821367,4444036
2.842967,7402346
2.86485,37574844
2.886467,41253162
2.908083,4145227
2.9297,7503410
2.951567,731902691
2.973183,51334625
2.99505,9171675
3.016933,26799787
3.0388,41450814
3.060417,8495352
3.082033,11563510
3.10365,11687343
3.125533,4380643
3.147133,2005333
3.169017,2761967
3.190633,7526741
3.2125,2157530
3.234117,2216520
3.255733,8083249
3.27735,8760663
3.299217,7564717
3.320833,15535012
3.342717,5028857
3.364333,2785670
3.3862,2944889
3.407817,1530374
3.429433,2806926
3.4513,1623818
3.472917,1794142
3.4948,12425382
3.516417,19942198
3.538033,9649081
3.5599,3318929
3.581517,4095224
3.603133,4361464
3.625,2380487
3.646617,1788035
3.6685,3719713
3.690117,8976080
3.711717,3497235
3.7336,1621779
3.755217,1294390
3.776833,5994660
3.7987,8320084
3.820317,3684025
3.8422,25463318
3.8638,28505440
3.885417,13952240
3.9073,4288486
3.928917,3367781
3.950533,7162789
3.9724,10499899
3.994017,2517331
4.015883,4641206
4.0375,48919766
4.059117,22902097
4.081,3407914
4.102617,3678957
4.124217,4203732
4.1461,36727934
4.167717,299961534
4.189583,12243430
4.2112,3033894
4.232817,3154483
4.2547,4792099
4.2763,23343212
4.298183,18921172
4.3198,3869537
4.341667,2682057
4.363283,4162981
4.3849,5958862
4.406517,5678833
4.428383,5274992
4.45,2572964
4.471883,1834856
4.4935,2693820
4.515367,2273556
4.536983,1820767
4.5586,2128993
4.580217,2843325
4.602083,2663952
4.6237,1866806
4.645583,1804734
4.6672,7012149
4.689067,12356251
4.710683,7905028
4.7323,2536160
4.753917,2470187
4.775783,2138421
4.7974,2377041
4.819283,2947482
4.840883,2797448
4.862767,2674401
4.884383,2051921
4.906,2305372
4.927617,1409390
4.949483,1500087
4.9711,2065659
4.992967,2249294
5.014583,2966628
5.036467,1838430
5.058083,1462123
5.0797,2247994
5.1013,4435061
5.123183,4143779
5.14505,3605253
5.166667,2599413
5.188283,2413336
5.210167,2049550
5.231783,1774661
5.253383,3843221
5.275267,7607350
5.296883,3076957
5.31875,1886106
5.340367,3153017
5.361983,1662990
5.383867,1856715
5.405467,2832954
5.427083,4892584
5.448967,3542555
5.470583,1745167
5.49245,1733113
5.514067,2833687
5.535683,8423111
5.55755,8301196
5.579167,2775201
5.600783,60133202
5.622667,40522446
5.644283,4784901
5.66615,4243786
5.687767,2457584
5.709383,1787819
5.73125,11174790
5.752867,292863635
5.774483,39591260
5.796367,12711074
5.817967,4407742
5.83985,3400247
5.861467,4669131
5.883083,15715423
5.90495,11522384
5.926567,3275493
5.948183,3108611
5.97005,2456601
5.991667,5431382
6.01355,2148294
6.035167,1957208
6.056783,2419741
6.07865,8121446
6.100267,10302005
6.122133,3931843
6.14375,3165142
6.165633,1915505
6.18725,1872785
6.208867,1612113
6.230467,1479505
6.25235,2953090
6.273967,3664997
6.295833,5179596
6.31745,2337026
6.339333,5057117
6.36095,2603322
6.38255,1488664
6.404167,1429820
6.42605,1935153
6.447917,1771279
6.469533,2299483
6.49115,2012509
6.513033,2241699
6.534633,2518580
6.55625,1761206
6.577867,1573053
6.59975,1722752
6.621617,1474732
6.643233,1908814
6.66485,2751311
6.686717,5067795
6.708333,2212205
6.72995,2029383
6.751833,2134719
6.77345,2294886
6.795317,2042121
6.816933,2968974
6.83855,4307114
6.860417,1984325
6.882033,1924783
6.903917,1847150
6.925533,2048352
6.9474,2786261
6.969017,1721012
6.990633,2302277
7.01225,1730980
7.034383,1628289
7.056,1263003
7.077617,1490636
7.099217,1411104
7.1211,1274998
7.142717,1328296
7.164583,2024943
7.1862,4542654
7.208083,6135729
7.2297,2157224
7.2513,1908208
7.272917,19953361
7.2948,98068773
7.316417,9079458
7.338283,2844918
7.3599,2182391
7.381783,2404031
7.403383,16509226
7.425,428959635
7.446617,102611178
7.4685,8082591
7.490117,5381174
7.511983,6650564
7.5336,4324924
7.555467,16993425
7.577083,10582807
7.5987,2600304
7.620317,2475352
7.6422,5219802
7.6638,3303930
7.685683,2049060
7.7073,4475504
7.729167,3815774
7.750783,1796018
7.7724,2210226
7.794017,2420105
7.815883,1996415
7.8375,4963269
7.859383,3471739
7.881,1717098
7.902867,1592104
7.924483,1642305
7.9461,2414884
7.967967,2270793
7.989583,4960215
8.011467,2647232
8.033083,2971930
8.0547,3203440
8.076567,1823769
8.098183,1750160
8.1198,2789993
8.141667,2103417
8.163283,2449215
8.185167,2506223
8.209117,2260600
8.230733,1725286
8.252617,1789684
8.274217,2045561
8.295833,2845313
8.317717,3370287
8.339333,6109986
8.3612,2903556
8.382817,2274058
8.404433,3662205
8.4263,2199769
8.447917,2016861
8.469533,3674304
8.491417,2898315
8.513033,2952449
8.5349,2623899
8.556517,2810762
8.578133,2604182
8.6,2248307
8.621617,2691244
8.6435,2327223
8.665117,2474878
8.686983,2333509
8.7086,2216468
8.730217,2590508
8.751833,2201027
8.77605,2195270
8.797917,3029486
8.821617,5329872
8.845317,2604887
8.8672,2089487
8.890883,10335197
8.9125,116286273
8.934117,17792681
8.956,4256069
8.977617,3144597
8.999483,2542581
9.023967,42710177
9.047667,430118348
9.071367,8753709
9.092967,2949631
9.116933,5761328
9.1388,3887122
9.1625,27473866
9.184117,12666099
9.208083,2804662
9.22995,3435162
9.251567,6660870
9.273183,2606757
9.2948,2448424
9.316667,3570315
9.33855,2280017
9.360167,2317510
9.381783,3478541
9.40365,3298642
9.42865,2680076
9.450267,2999078
9.471883,2354413
9.49375,2094829
9.515367,2302184
9.53985,2374570
9.561467,2408886
9.583333,3117448
9.6073,2557651
9.628917,3081885
9.652867,3628326
9.67475,2658056
9.696367,2539509
9.717967,2139612
9.739583,2279091
9.761467,3033350
9.783083,2443309
9.80495,2689670
9.826567,2585183
9.84845,2223749
9.87005,2327133
