Temp,TGA,mz33,PET,Cys
36.767,100,7.13E-09,28.2,1.07
41.767,100,7.24E-09,28.2,1.07
46.767,99.99,7.32E-09,28.2,1.07
51.767,99.99,7.35E-09,28.2,1.07
56.767,99.99,7.36E-09,28.2,1.07
61.767,99.99,7.37E-09,28.2,1.07
66.767,99.99,7.38E-09,28.2,1.07
71.767,99.99,7.39E-09,28.2,1.07
76.767,99.98,7.39E-09,28.2,1.07
81.767,99.97,7.4E-09,28.2,1.07
86.767,99.96,7.4E-09,28.2,1.07
91.767,99.95,7.4E-09,28.2,1.07
96.767,99.93,7.4E-09,28.2,1.07
101.767,99.92,7.41E-09,28.2,1.07
106.767,99.91,7.42E-09,28.2,1.07
111.767,99.89,7.45E-09,28.2,1.07
116.767,99.87,7.49E-09,28.2,1.07
121.767,99.86,7.55E-09,28.2,1.07
126.767,99.86,7.63E-09,28.2,1.07
131.767,99.84,7.75E-09,28.2,1.07
136.767,99.83,7.92E-09,28.2,1.07
141.767,99.82,8.16E-09,28.2,1.07
146.767,99.8,8.47E-09,28.2,1.07
151.767,99.8,8.88E-09,28.2,1.07
156.767,99.79,9.39E-09,28.2,1.07
161.767,99.77,1E-08,28.2,1.07
166.767,99.76,1.08E-08,28.2,1.07
171.767,99.75,1.16E-08,28.2,1.07
176.767,99.74,1.26E-08,28.2,1.07
181.767,99.73,1.36E-08,28.2,1.07
186.767,99.71,1.46E-08,28.2,1.07
191.767,99.69,1.55E-08,28.2,1.07
196.767,99.67,1.64E-08,28.2,1.07
201.767,99.64,1.71E-08,28.2,1.07
206.767,99.59,1.77E-08,28.2,1.07
211.767,99.48,1.8E-08,28.2,1.07
216.767,99.16,1.81E-08,28.2,1.07
221.767,98.86,1.79E-08,28.2,1.07
226.767,98.76,1.75E-08,28.2,1.07
231.767,98.71,1.69E-08,28.2,1.07
236.767,98.67,1.62E-08,28.2,1.07
241.767,98.63,1.54E-08,28.2,1.07
246.767,98.59,1.45E-08,28.2,1.07
251.767,98.55,1.36E-08,28.2,1.07
256.767,98.51,1.27E-08,28.2,1.07
261.767,98.46,1.2E-08,28.2,1.07
266.767,98.4,1.13E-08,28.2,1.07
271.767,98.34,1.07E-08,28.2,1.07
276.767,98.28,1.02E-08,28.2,1.07
281.767,98.21,9.75E-09,28.2,1.07
286.767,98.15,9.42E-09,28.2,1.07
291.767,98.09,9.16E-09,28.2,1.07
296.767,98.02,8.96E-09,28.2,1.07
301.767,97.96,8.8E-09,28.2,1.07
306.767,97.9,8.68E-09,28.2,1.07
311.767,97.84,8.58E-09,28.2,1.07
316.767,97.78,8.5E-09,28.2,1.07
321.767,97.72,8.43E-09,28.2,1.07
326.767,97.66,8.36E-09,28.2,1.07
331.767,97.61,8.3E-09,28.2,1.07
336.767,97.56,8.25E-09,28.2,1.07
341.767,97.5,8.2E-09,28.2,1.07
346.767,97.44,8.14E-09,28.2,1.07
351.767,97.39,8.1E-09,28.2,1.07
356.767,97.33,8.05E-09,28.2,1.07
361.767,97.28,8.01E-09,28.2,1.07
366.767,97.21,7.98E-09,28.2,1.07
371.767,97.15,7.95E-09,28.2,1.07
376.767,97.08,7.94E-09,28.2,1.07
381.767,97,7.92E-09,28.2,1.07
386.767,96.91,7.92E-09,28.2,1.07
391.767,96.79,7.92E-09,28.2,1.07
396.767,96.65,7.93E-09,28.2,1.07
401.767,96.48,7.94E-09,28.2,1.07
406.767,96.29,7.96E-09,28.2,1.07
411.767,96.07,7.98E-09,28.2,1.07
416.767,95.84,7.99E-09,28.2,1.07
421.767,95.6,8.01E-09,28.2,1.07
426.767,95.4,8.02E-09,28.2,1.07
431.767,95.22,8.04E-09,28.2,1.07
436.767,95.1,8.04E-09,28.2,1.07
441.767,95,8.05E-09,28.2,1.07
446.767,94.92,8.05E-09,28.2,1.07
451.767,94.85,8.05E-09,28.2,1.07
456.767,94.79,8.05E-09,28.2,1.07
461.767,94.73,8.05E-09,28.2,1.07
466.767,94.69,8.04E-09,28.2,1.07
471.767,94.65,8.03E-09,28.2,1.07
476.767,94.61,8.02E-09,28.2,1.07
481.767,94.58,8.01E-09,28.2,1.07
486.767,94.55,7.99E-09,28.2,1.07
491.767,94.51,7.97E-09,28.2,1.07
496.767,94.49,7.95E-09,28.2,1.07
501.767,94.46,7.92E-09,28.2,1.07
506.767,94.44,7.89E-09,28.2,1.07
511.767,94.41,7.87E-09,28.2,1.07
516.767,94.39,7.84E-09,28.2,1.07
521.767,94.36,7.81E-09,28.2,1.07
526.767,94.34,7.79E-09,28.2,1.07
531.767,94.32,7.76E-09,28.2,1.07
536.767,94.3,7.73E-09,28.2,1.07
541.767,94.28,7.71E-09,28.2,1.07
546.767,94.26,7.69E-09,28.2,1.07
551.767,94.25,7.66E-09,28.2,1.07
556.767,94.23,7.64E-09,28.2,1.07
561.767,94.2,7.62E-09,28.2,1.07
566.767,94.18,7.6E-09,28.2,1.07
571.767,94.16,7.58E-09,28.2,1.07
576.767,94.14,7.57E-09,28.2,1.07
581.767,94.13,7.55E-09,28.2,1.07
586.767,94.11,7.53E-09,28.2,1.07
591.767,94.09,7.52E-09,28.2,1.07
596.767,94.08,7.5E-09,28.2,1.07
601.767,94.06,7.48E-09,28.2,1.07
606.767,94.03,7.47E-09,28.2,1.07
611.767,94.02,7.45E-09,28.2,1.07
616.767,94,7.43E-09,28.2,1.07
621.767,93.99,7.42E-09,28.2,1.07
626.767,93.97,7.4E-09,28.2,1.07
631.767,93.97,7.38E-09,28.2,1.07
636.767,93.95,7.36E-09,28.2,1.07
641.767,93.94,7.34E-09,28.2,1.07
646.767,93.92,7.32E-09,28.2,1.07
651.767,93.9,7.3E-09,28.2,1.07
656.767,93.89,7.28E-09,28.2,1.07
661.767,93.88,7.26E-09,28.2,1.07
666.767,93.87,7.24E-09,28.2,1.07
671.767,93.85,7.22E-09,28.2,1.07
676.767,93.84,7.21E-09,28.2,1.07
681.767,93.83,7.19E-09,28.2,1.07
686.767,93.81,7.18E-09,28.2,1.07
691.767,93.8,7.16E-09,28.2,1.07
696.767,93.78,7.15E-09,28.2,1.07
701.767,93.77,7.14E-09,28.2,1.07
706.767,93.76,7.13E-09,28.2,1.07
711.767,93.74,7.12E-09,28.2,1.07
716.767,93.74,7.12E-09,28.2,1.07
721.767,93.71,7.11E-09,28.2,1.07
726.767,93.71,7.11E-09,28.2,1.07
731.767,93.69,7.1E-09,28.2,1.07
736.767,93.68,7.09E-09,28.2,1.07
741.767,93.67,7.09E-09,28.2,1.07
746.767,93.65,7.08E-09,28.2,1.07
751.767,93.64,7.08E-09,28.2,1.07
756.767,93.63,7.07E-09,28.2,1.07
761.767,93.61,7.07E-09,28.2,1.07
766.767,93.6,7.06E-09,28.2,1.07
771.767,93.59,7.06E-09,28.2,1.07
776.767,93.58,7.05E-09,28.2,1.07
781.767,93.56,7.05E-09,28.2,1.07
786.767,93.55,7.05E-09,28.2,1.07
791.767,93.54,7.04E-09,28.2,1.07
796.767,93.53,7.04E-09,28.2,1.07
801.767,93.51,7.04E-09,28.2,1.07
806.767,93.5,7.04E-09,28.2,1.07
811.767,93.49,7.04E-09,28.2,1.07
816.767,93.48,7.04E-09,28.2,1.07
821.767,93.47,7.04E-09,28.2,1.07
826.767,93.46,7.03E-09,28.2,1.07
831.767,93.44,7.03E-09,28.2,1.07
836.767,93.43,7.02E-09,28.2,1.07
841.767,93.42,7.02E-09,28.2,1.07
846.767,93.4,7.01E-09,28.2,1.07
851.767,93.39,7E-09,28.2,1.07
856.767,93.38,7E-09,28.2,1.07
861.767,93.36,6.99E-09,28.2,1.07
866.767,93.36,6.98E-09,28.2,1.07
871.767,93.34,6.97E-09,28.2,1.07
876.767,93.33,6.96E-09,28.2,1.07
881.767,93.32,6.96E-09,28.2,1.07
886.767,93.31,6.95E-09,28.2,1.07
891.767,93.29,6.94E-09,28.2,1.07
896.767,93.27,6.94E-09,28.2,1.07
901.767,93.25,6.93E-09,28.2,1.07
906.767,93.25,6.93E-09,28.2,1.07
911.767,93.23,6.92E-09,28.2,1.07
916.767,93.22,6.92E-09,28.2,1.07
921.767,93.2,6.91E-09,28.2,1.07
926.767,93.19,6.91E-09,28.2,1.07
931.767,93.18,6.91E-09,28.2,1.07
936.767,93.16,6.9E-09,28.2,1.07
941.767,93.15,6.9E-09,28.2,1.07
946.767,93.13,6.9E-09,28.2,1.07
951.767,93.12,6.9E-09,28.2,1.07
956.767,93.09,6.9E-09,28.2,1.07
