Sample,Cys,Temp,TGA,mz33
LUFA soil,0,36,100,3.55E-09
LUFA soil,0,41,100.02835,3.57E-09
LUFA soil,0,46,100.0389,3.57E-09
LUFA soil,0,51,100.04507,3.58E-09
LUFA soil,0,56,100.05718,3.58E-09
LUFA soil,0,61,100.05517,3.58E-09
LUFA soil,0,66,100.05701,3.58E-09
LUFA soil,0,71,100.051,3.58E-09
LUFA soil,0,76,100.04229,3.58E-09
LUFA soil,0,81,100.03678,3.58E-09
LUFA soil,0,86,100.02758,3.57E-09
LUFA soil,0,91,100.01839,3.57E-09
LUFA soil,0,96,100.00388,3.57E-09
LUFA soil,0,101,99.98713,3.57E-09
LUFA soil,0,106,99.97242,3.56E-09
LUFA soil,0,111,99.9522,3.56E-09
LUFA soil,0,116,99.9338,3.56E-09
LUFA soil,0,121,99.91541,3.55E-09
LUFA soil,0,126,99.9007,3.55E-09
LUFA soil,0,131,99.88231,3.54E-09
LUFA soil,0,136,99.86576,3.54E-09
LUFA soil,0,141,99.85289,3.54E-09
LUFA soil,0,146,99.8345,3.53E-09
LUFA soil,0,151,99.82163,3.53E-09
LUFA soil,0,156,99.81059,3.53E-09
LUFA soil,0,161,99.79772,3.53E-09
LUFA soil,0,166,99.78669,3.52E-09
LUFA soil,0,171,99.7683,3.52E-09
LUFA soil,0,176,99.75911,3.52E-09
LUFA soil,0,181,99.74623,3.52E-09
LUFA soil,0,186,99.73336,3.52E-09
LUFA soil,0,191,99.71858,3.51E-09
LUFA soil,0,196,99.70394,3.51E-09
LUFA soil,0,201,99.68555,3.51E-09
LUFA soil,0,206,99.66716,3.50E-09
LUFA soil,0,211,99.65061,3.50E-09
LUFA soil,0,216,99.62854,3.49E-09
LUFA soil,0,221,99.60279,3.49E-09
LUFA soil,0,226,99.58625,3.48E-09
LUFA soil,0,231,99.56602,3.48E-09
LUFA soil,0,236,99.52554,3.47E-09
LUFA soil,0,241,99.49798,3.47E-09
LUFA soil,0,246,99.46488,3.46E-09
LUFA soil,0,251,99.42443,3.46E-09
LUFA soil,0,256,99.38949,3.45E-09
LUFA soil,0,261,99.3399,3.45E-09
LUFA soil,0,266,99.29386,3.44E-09
LUFA soil,0,271,99.24054,3.44E-09
LUFA soil,0,276,99.18905,3.43E-09
LUFA soil,0,281,99.13201,3.43E-09
LUFA soil,0,286,99.07136,3.43E-09
LUFA soil,0,291,99.0145,3.43E-09
LUFA soil,0,296,98.94999,3.43E-09
LUFA soil,0,301,98.89483,3.44E-09
LUFA soil,0,306,98.83598,3.44E-09
LUFA soil,0,311,98.78265,3.44E-09
LUFA soil,0,316,98.72933,3.44E-09
LUFA soil,0,321,98.67968,3.43E-09
LUFA soil,0,326,98.62635,3.43E-09
LUFA soil,0,331,98.57854,3.43E-09
LUFA soil,0,336,98.52689,3.42E-09
LUFA soil,0,341,98.47741,3.42E-09
LUFA soil,0,346,98.42944,3.42E-09
LUFA soil,0,351,98.38368,3.41E-09
LUFA soil,0,356,98.33764,3.41E-09
LUFA soil,0,361,98.28477,3.41E-09
LUFA soil,0,366,98.24202,3.41E-09
LUFA soil,0,371,98.2034,3.41E-09
LUFA soil,0,376,98.16663,3.41E-09
LUFA soil,0,381,98.12975,3.42E-09
LUFA soil,0,386,98.0951,3.42E-09
LUFA soil,0,391,98.05251,3.42E-09
LUFA soil,0,396,98.02514,3.41E-09
LUFA soil,0,401,97.98274,3.41E-09
LUFA soil,0,406,97.94967,3.41E-09
LUFA soil,0,411,97.90918,3.41E-09
LUFA soil,0,416,97.8816,3.41E-09
LUFA soil,0,421,97.84666,3.40E-09
LUFA soil,0,426,97.80988,3.40E-09
LUFA soil,0,431,97.78414,3.40E-09
LUFA soil,0,436,97.75288,3.40E-09
LUFA soil,0,441,97.71959,3.39E-09
LUFA soil,0,446,97.69403,3.39E-09
LUFA soil,0,451,97.66277,3.39E-09
LUFA soil,0,456,97.63702,3.38E-09
LUFA soil,0,461,97.60765,3.38E-09
LUFA soil,0,466,97.58186,3.37E-09
LUFA soil,0,471,97.55795,3.37E-09
LUFA soil,0,476,97.53221,3.37E-09
LUFA soil,0,481,97.50462,3.36E-09
LUFA soil,0,486,97.48256,3.36E-09
LUFA soil,0,491,97.45681,3.36E-09
LUFA soil,0,496,97.43291,3.36E-09
LUFA soil,0,501,97.41268,3.36E-09
LUFA soil,0,506,97.39613,3.37E-09
LUFA soil,0,511,97.37774,3.37E-09
LUFA soil,0,516,97.36303,3.37E-09
LUFA soil,0,521,97.3428,3.37E-09
LUFA soil,0,526,97.32809,3.37E-09
LUFA soil,0,531,97.3095,3.37E-09
LUFA soil,0,536,97.29502,3.37E-09
LUFA soil,0,541,97.27844,3.36E-09
LUFA soil,0,546,97.25816,3.36E-09
