Sample,Temp,AvgHF
PET PlasticsEurope Frankfurt,-15,-0.14417
PET PlasticsEurope Frankfurt,-10,-0.159266666666667
PET PlasticsEurope Frankfurt,-5,-0.171366666666667
PET PlasticsEurope Frankfurt,0,-0.179766666666667
PET PlasticsEurope Frankfurt,5,-0.1858
PET PlasticsEurope Frankfurt,10,-0.1907
PET PlasticsEurope Frankfurt,15,-0.1953
PET PlasticsEurope Frankfurt,20,-0.200533333333333
PET PlasticsEurope Frankfurt,25,-0.206933333333333
PET PlasticsEurope Frankfurt,30,-0.213333333333333
PET PlasticsEurope Frankfurt,35,-0.2192
PET PlasticsEurope Frankfurt,40,-0.2239
PET PlasticsEurope Frankfurt,45,-0.228133333333333
PET PlasticsEurope Frankfurt,50,-0.232733333333333
PET PlasticsEurope Frankfurt,55,-0.2376
PET PlasticsEurope Frankfurt,60,-0.243266666666667
PET PlasticsEurope Frankfurt,65,-0.2494
PET PlasticsEurope Frankfurt,70,-0.256433333333333
PET PlasticsEurope Frankfurt,75,-0.263333333333333
PET PlasticsEurope Frankfurt,80,-0.269766666666667
PET PlasticsEurope Frankfurt,85,-0.275833333333333
PET PlasticsEurope Frankfurt,90,-0.2814
PET PlasticsEurope Frankfurt,95,-0.286266666666667
PET PlasticsEurope Frankfurt,100,-0.290233333333333
PET PlasticsEurope Frankfurt,105,-0.293833333333333
PET PlasticsEurope Frankfurt,110,-0.297233333333333
PET PlasticsEurope Frankfurt,115,-0.3009
PET PlasticsEurope Frankfurt,120,-0.3046
PET PlasticsEurope Frankfurt,125,-0.3083
PET PlasticsEurope Frankfurt,130,-0.312133333333333
PET PlasticsEurope Frankfurt,135,-0.316066666666667
PET PlasticsEurope Frankfurt,140,-0.320066666666667
PET PlasticsEurope Frankfurt,145,-0.324366666666667
PET PlasticsEurope Frankfurt,150,-0.3288
PET PlasticsEurope Frankfurt,155,-0.333566666666667
PET PlasticsEurope Frankfurt,160,-0.3385
PET PlasticsEurope Frankfurt,165,-0.343666666666667
PET PlasticsEurope Frankfurt,170,-0.348833333333333
PET PlasticsEurope Frankfurt,175,-0.354066666666667
