PET,IS,mz105norm,mz154norm
5.6,without,3.26E-11,6.11E-12
10.6,without,4.06E-11,2.04E-11
22.1,without,8.20E-11,4.22E-11
30.8,without,1.46E-10,7.26E-11
41.8,without,1.64E-10,9.23E-11
7.1,without,5.79E-11,9.16E-12
10.6,without,6.41E-11,1.04E-11
19.3,without,9.38E-11,1.84E-11
29.6,without,1.55E-10,4.64E-11
40.3,without,2.33E-10,6.68E-11
0,without,2.74E-11,2.27E-11
0,without,2.74E-11,1.04E-11
0,without,2.47E-11,1.22E-11
0,without,3.58E-11,1.60E-11
0,without,3.04E-11,1.45E-11
0,without,2.73E-11,1.72E-11
3.5,with,0.006729165291427,0.001295383028453
5.2,with,0.012733528201961,7.13E-04
8.9,with,0.022371565933255,0.001127039563297
20.2,with,0.046485535733236,0.002447767591364
28.2,with,0.072661744168448,0.00324053576272
38.9,with,0.099300646827105,0.004747219910278
45.9,with,0.138810559283251,0.008343448036521
2.3,with,0.006426113241706,0.001217168811058
5.2,with,0.010762131623138,4.30E-04
10.4,with,0.023990299230991,1.07E-04
20.4,with,0.051302281850651,0.002435034468214
29.5,with,0.085979036808507,0.004937493126101
36.8,with,0.10239355824902,0.005901705895202
44.4,with,0.128989523229867,0.007059044312294
0,with,4.18E-03,4.88E-04
0,with,2.00E-03,5.31E-04
0,with,2.78E-03,5.66E-04
0,with,2.62E-03,4.89E-04
0,with,3.28E-03,5.52E-04
0,with,3.20E-03,5.15E-04
