Sample,Type,PET,IS,Temp,mz105
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,36,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,37.22454,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,38.60103,1.22E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,40.27861,1.23E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,42.3516,1.24E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,44.86447,1.25E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,47.86273,1.25E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,51.40108,1.25E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,55.5304,1.25E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,60.21461,1.24E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,65.34989,1.23E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,70.84276,1.23E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,76.63285,1.22E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,82.66527,1.21E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,88.88311,1.20E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,95.22814,1.19E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,101.63819,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,108.04209,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,114.37168,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,120.59614,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,126.70435,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,132.70313,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,138.63093,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,144.52087,1.15E-10
