Sample,PET,Temp,TGA,DTG,mz105
LUFA soil,0,37.01,100,-0.10249,3.64E-10
LUFA soil,0,42.01,99.97899,-0.00697,3.65E-10
LUFA soil,0,47.01,99.96984,-0.00644,3.66E-10
LUFA soil,0,52.01,99.96425,-0.00553,3.65E-10
LUFA soil,0,57.01,99.95979,-0.00615,3.64E-10
LUFA soil,0,62.01,99.95567,-0.00993,3.64E-10
LUFA soil,0,67.01,99.94512,-0.01477,3.63E-10
LUFA soil,0,72.01,99.93434,-0.01406,3.62E-10
LUFA soil,0,77.01,99.91958,-0.01947,3.61E-10
LUFA soil,0,82.01,99.90686,-0.01926,3.61E-10
LUFA soil,0,87.01,99.88993,-0.02443,3.60E-10
LUFA soil,0,92.01,99.87088,-0.02735,3.59E-10
LUFA soil,0,97.01,99.85183,-0.02606,3.58E-10
LUFA soil,0,102.01,99.82643,-0.02484,3.57E-10
LUFA soil,0,107.01,99.81161,-0.02191,3.57E-10
LUFA soil,0,112.01,99.79259,-0.01911,3.56E-10
LUFA soil,0,117.01,99.77563,-0.01737,3.55E-10
LUFA soil,0,122.01,99.75869,-0.01477,3.54E-10
LUFA soil,0,127.01,99.74388,-0.0165,3.54E-10
LUFA soil,0,132.01,99.72694,-0.01737,3.53E-10
LUFA soil,0,137.01,99.71001,-0.01911,3.53E-10
LUFA soil,0,142.01,99.68884,-0.0165,3.52E-10
LUFA soil,0,147.01,99.67614,-0.0113,3.52E-10
LUFA soil,0,152.01,99.66768,-0.01129,3.52E-10
LUFA soil,0,157.01,99.65501,-0.01129,3.52E-10
LUFA soil,0,162.01,99.64228,-0.01042,3.52E-10
LUFA soil,0,167.01,99.63169,-0.00968,3.52E-10
LUFA soil,0,172.01,99.62111,-0.01384,3.52E-10
LUFA soil,0,177.01,99.59995,-0.01544,3.52E-10
LUFA soil,0,182.01,99.59571,-0.01403,3.52E-10
LUFA soil,0,187.01,99.57877,-0.01477,3.52E-10
LUFA soil,0,192.01,99.55972,-0.0165,3.52E-10
LUFA soil,0,197.01,99.54491,-0.01379,3.51E-10
LUFA soil,0,202.01,99.53221,-0.01477,3.51E-10
LUFA soil,0,207.01,99.51739,-0.01564,3.50E-10
LUFA soil,0,212.01,99.50257,-0.02259,3.50E-10
LUFA soil,0,217.01,99.47734,-0.02346,3.49E-10
LUFA soil,0,222.01,99.44966,-0.02399,3.48E-10
LUFA soil,0,227.01,99.43272,-0.02509,3.48E-10
LUFA soil,0,232.01,99.40097,-0.0293,3.47E-10
LUFA soil,0,237.01,99.36922,-0.03053,3.47E-10
LUFA soil,0,242.01,99.33959,-0.03384,3.47E-10
LUFA soil,0,247.01,99.29725,-0.03715,3.46E-10
LUFA soil,0,252.01,99.26556,-0.04073,3.46E-10
LUFA soil,0,257.01,99.22317,-0.046,3.46E-10
LUFA soil,0,262.01,99.17448,-0.05125,3.47E-10
LUFA soil,0,267.01,99.11967,-0.05125,3.47E-10
LUFA soil,0,272.01,99.07076,-0.05389,3.47E-10
LUFA soil,0,277.01,99.01362,-0.05648,3.48E-10
LUFA soil,0,282.01,98.95223,-0.05661,3.48E-10
LUFA soil,0,287.01,98.89719,-0.05992,3.49E-10
LUFA soil,0,292.01,98.84004,-0.0597,3.50E-10
LUFA soil,0,297.01,98.77862,-0.05851,3.50E-10
LUFA soil,0,302.01,98.71728,-0.05818,3.51E-10
LUFA soil,0,307.01,98.66189,-0.05386,3.52E-10
LUFA soil,0,312.01,98.60504,-0.05473,3.52E-10
LUFA soil,0,317.01,98.5564,-0.05097,3.53E-10
LUFA soil,0,322.01,98.5056,-0.05037,3.54E-10
LUFA soil,0,327.01,98.45056,-0.04864,3.54E-10
LUFA soil,0,332.01,98.40394,-0.04516,3.55E-10
LUFA soil,0,337.01,98.35955,-0.04604,3.55E-10
LUFA soil,0,342.01,98.31298,-0.04587,3.56E-10
LUFA soil,0,347.01,98.26853,-0.04729,3.56E-10
LUFA soil,0,352.01,98.22408,-0.04691,3.57E-10
LUFA soil,0,357.01,98.17119,-0.04609,3.57E-10
LUFA soil,0,362.01,98.12693,-0.0417,3.57E-10
LUFA soil,0,367.01,98.08863,-0.03796,3.57E-10
LUFA soil,0,372.01,98.05263,-0.03729,3.57E-10
LUFA soil,0,377.01,98.01029,-0.03751,3.57E-10
LUFA soil,0,382.01,97.97431,-0.03475,3.56E-10
LUFA soil,0,387.01,97.94255,-0.03388,3.56E-10
LUFA soil,0,392.01,97.90855,-0.03445,3.55E-10
LUFA soil,0,397.01,97.87694,-0.03693,3.54E-10
LUFA soil,0,402.01,97.83884,-0.03648,3.54E-10
LUFA soil,0,407.01,97.79862,-0.03735,3.53E-10
LUFA soil,0,412.01,97.76052,-0.03315,3.52E-10
LUFA soil,0,417.01,97.73514,-0.03283,3.51E-10
LUFA soil,0,422.01,97.69931,-0.03301,3.50E-10
LUFA soil,0,427.01,97.66527,-0.0312,3.50E-10
LUFA soil,0,432.01,97.63547,-0.0278,3.49E-10
LUFA soil,0,437.01,97.61235,-0.02516,3.49E-10
LUFA soil,0,442.01,97.58907,-0.02953,3.48E-10
LUFA soil,0,447.01,97.55732,-0.0278,3.48E-10
LUFA soil,0,452.01,97.53191,-0.02867,3.47E-10
LUFA soil,0,457.01,97.50219,-0.02752,3.47E-10
LUFA soil,0,462.01,97.47476,-0.02606,3.46E-10
LUFA soil,0,467.01,97.44936,-0.02678,3.46E-10
LUFA soil,0,472.01,97.41761,-0.02866,3.46E-10
LUFA soil,0,477.01,97.39432,-0.02519,3.45E-10
LUFA soil,0,482.01,97.36893,-0.02517,3.45E-10
LUFA soil,0,487.01,97.34564,-0.02499,3.44E-10
LUFA soil,0,492.01,97.31813,-0.02519,3.44E-10
LUFA soil,0,497.01,97.29696,-0.02262,3.43E-10
LUFA soil,0,502.01,97.27156,-0.01998,3.43E-10
LUFA soil,0,507.01,97.25251,-0.01653,3.42E-10
LUFA soil,0,512.01,97.22923,-0.02172,3.42E-10
LUFA soil,0,517.01,97.20806,-0.02085,3.41E-10
LUFA soil,0,522.01,97.19112,-0.01998,3.41E-10
