Sample,PET,IS,Temp,TGA,mz105,mz154
LUFA soil,0,without,38.481,100.01646,1.8E-10,1.75E-10
LUFA soil,0,without,43.481,100.02199,1.83E-10,1.76E-10
LUFA soil,0,without,48.481,100.0217,1.83E-10,1.76E-10
LUFA soil,0,without,53.481,100.02192,1.83E-10,1.76E-10
LUFA soil,0,without,58.481,100.01201,1.83E-10,1.76E-10
LUFA soil,0,without,63.481,100.00348,1.83E-10,1.76E-10
LUFA soil,0,without,68.481,99.99277,1.82E-10,1.76E-10
LUFA soil,0,without,73.481,99.98076,1.82E-10,1.77E-10
LUFA soil,0,without,78.481,99.96384,1.82E-10,1.77E-10
LUFA soil,0,without,83.481,99.94696,1.81E-10,1.77E-10
LUFA soil,0,without,88.481,99.9325,1.81E-10,1.77E-10
LUFA soil,0,without,93.481,99.91321,1.81E-10,1.77E-10
LUFA soil,0,without,98.481,99.88904,1.82E-10,1.77E-10
LUFA soil,0,without,103.481,99.8674,1.82E-10,1.77E-10
LUFA soil,0,without,108.481,99.84812,1.82E-10,1.77E-10
LUFA soil,0,without,113.481,99.82642,1.83E-10,1.76E-10
LUFA soil,0,without,118.481,99.80954,1.83E-10,1.76E-10
LUFA soil,0,without,123.481,99.79508,1.83E-10,1.75E-10
LUFA soil,0,without,128.481,99.77579,1.83E-10,1.74E-10
LUFA soil,0,without,133.481,99.75409,1.84E-10,1.74E-10
LUFA soil,0,without,138.481,99.7372,1.84E-10,1.73E-10
LUFA soil,0,without,143.481,99.71781,1.83E-10,1.73E-10
LUFA soil,0,without,148.481,99.7107,1.83E-10,1.72E-10
LUFA soil,0,without,153.481,99.69623,1.82E-10,1.72E-10
LUFA soil,0,without,158.481,99.689,1.82E-10,1.71E-10
LUFA soil,0,without,163.481,99.67695,1.81E-10,1.71E-10
LUFA soil,0,without,168.481,99.6673,1.82E-10,1.72E-10
LUFA soil,0,without,173.481,99.65284,1.82E-10,1.72E-10
LUFA soil,0,without,178.481,99.63837,1.83E-10,1.72E-10
LUFA soil,0,without,183.481,99.62391,1.84E-10,1.73E-10
LUFA soil,0,without,188.481,99.60703,1.85E-10,1.73E-10
LUFA soil,0,without,193.481,99.59256,1.85E-10,1.72E-10
LUFA soil,0,without,198.481,99.5781,1.86E-10,1.72E-10
LUFA soil,0,without,203.481,99.56122,1.86E-10,1.71E-10
LUFA soil,0,without,208.481,99.54676,1.86E-10,1.71E-10
LUFA soil,0,without,213.481,99.5323,1.85E-10,1.71E-10
LUFA soil,0,without,218.481,99.49854,1.85E-10,1.72E-10
LUFA soil,0,without,223.481,99.47878,1.84E-10,1.72E-10
LUFA soil,0,without,228.481,99.45996,1.83E-10,1.73E-10
LUFA soil,0,without,233.481,99.42622,1.82E-10,1.73E-10
LUFA soil,0,without,238.481,99.40211,1.82E-10,1.74E-10
LUFA soil,0,without,243.481,99.36836,1.82E-10,1.74E-10
LUFA soil,0,without,248.481,99.3346,1.83E-10,1.74E-10
LUFA soil,0,without,253.481,99.29844,1.83E-10,1.74E-10
LUFA soil,0,without,258.481,99.25263,1.84E-10,1.74E-10
LUFA soil,0,without,263.481,99.20924,1.85E-10,1.74E-10
LUFA soil,0,without,268.481,99.16339,1.85E-10,1.74E-10
LUFA soil,0,without,273.481,99.10798,1.86E-10,1.74E-10
LUFA soil,0,without,278.481,99.05494,1.86E-10,1.74E-10
LUFA soil,0,without,283.481,98.99949,1.87E-10,1.74E-10
LUFA soil,0,without,288.481,98.94188,1.87E-10,1.75E-10
LUFA soil,0,without,293.481,98.88377,1.87E-10,1.75E-10
LUFA soil,0,without,298.481,98.83073,1.87E-10,1.75E-10
LUFA soil,0,without,303.481,98.77807,1.86E-10,1.75E-10
LUFA soil,0,without,308.481,98.72935,1.86E-10,1.75E-10
LUFA soil,0,without,313.481,98.68367,1.87E-10,1.75E-10
LUFA soil,0,without,318.481,98.63545,1.87E-10,1.76E-10
LUFA soil,0,without,323.481,98.58483,1.87E-10,1.76E-10
LUFA soil,0,without,328.481,98.5342,1.87E-10,1.76E-10
