Sample Name,Date,Soil,Polymer,Extraction procedure,Rep,Extract,Soil target,Soil mass,Target content,Target weight,Actual weight,Actual content,Interference target,Interference weight,Interference content,Dilution,Extraction Batch No
ZS-1001,2019-07-03,RefeSol 06-A,Polyethylene,TCB,1,8.02,4,4.0072,0,0,0,0,0,0,0,1,2
ZS-1002,2019-07-03,RefeSol 06-A,Polyethylene,TCB,2,8.02,4,3.9911,0,0,0,0,0,0,0,1,2
ZS-1003,2019-07-03,RefeSol 06-A,Polyethylene,TCB,3,8.02,4,4.0045,0,0,0,0,0,0,0,1,1
ZS-1004,2019-07-03,RefeSol 06-A,Polyethylene,TCB,1,8.02,4,4.002,50,0.2,0.1996,49.8750624687656,0,0,0,1,1
ZS-1005,2019-07-03,RefeSol 06-A,Polyethylene,TCB,2,8.02,4,3.994,50,0.2,0.1985,49.699549323986,0,0,0,1,1
ZS-1006,2019-07-03,RefeSol 06-A,Polyethylene,TCB,3,8.02,4,3.9993,50,0.2,0.1913,47.833370839897,0,0,0,1,2
ZS-1007,2019-07-03,RefeSol 06-A,Polyethylene,TCB,1,8.02,4,3.9946,250,1,0.9827,246.007109597957,0,0,0,1,2
ZS-1008,2019-07-03,RefeSol 06-A,Polyethylene,TCB,2,8.02,4,3.998,250,1,0.9951,248.899449724862,0,0,0,1,2
ZS-1009,2019-07-03,RefeSol 06-A,Polyethylene,TCB,3,8.02,4,4.0052,250,1,1.0048,250.87386397683,0,0,0,1,2
ZS-1010,2019-07-03,LUFA 2.2,Polyethylene,TCB,1,8.02,4,4.0026,0,0,0,0,0,0,0,1,1
ZS-1011,2019-07-03,LUFA 2.2,Polyethylene,TCB,2,8.02,4,4.0096,0,0,0,0,0,0,0,1,3
ZS-1012,2019-07-03,LUFA 2.2,Polyethylene,TCB,3,8.02,4,4.0018,0,0,0,0,0,0,0,1,1
ZS-1013,2019-07-03,LUFA 2.2,Polyethylene,TCB,1,8.02,4,4.0087,50,0.2,0.1958,48.8437648115349,0,0,0,1,4
ZS-1014,2019-07-03,LUFA 2.2,Polyethylene,TCB,2,8.02,4,3.992,50,0.2,0.202,50.6012024048096,0,0,0,1,4
ZS-1015,2019-07-03,LUFA 2.2,Polyethylene,TCB,3,8.02,4,3.9969,50,0.2,0.2064,51.6400210162876,0,0,0,1,3
ZS-1016,2019-07-03,LUFA 2.2,Polyethylene,TCB,1,8.02,4,3.9974,250,1,0.9955,249.036873968079,0,0,0,1,1
ZS-1017,2019-07-03,LUFA 2.2,Polyethylene,TCB,2,8.02,4,4.0068,250,1,0.994,248.078266946192,0,0,0,1,3
ZS-1018,2019-07-03,LUFA 2.2,Polyethylene,TCB,3,8.02,4,4.0008,250,1,1.0109,252.674465106979,0,0,0,1,3
ZS-1019,2019-07-03,WR,Polyethylene,TCB,1,8.02,4,4.0045,0,0,0,0,0,0,0,1,1
