Sample Type,File Name,Sample ID,Sample Name,Inj Vol,Position,Comment,Date,Instrument Method,Pyroprobe method,Processing method
Unknown,Pyro_Plast-004,4,0 ug/mL PlastMix,2,4,Calibration,2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-005,5,5 ug/mL PlastMix,2,5,"Calibration, excluded",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-006,6,10 ug/mL PlastMix,2,6,"Calibration, excluded",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-007,7,20 ug/mL PlastMix,2,7,"Calibration, excluded",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-008,8,0 ug/mL PlastMix,2,8,Calibration,2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-009,9,50 ug/mL PlastMix,2,9,"Calibration, excluded",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-010,10,100 ug/mL PlastMix,2,10,"Calibration, excluded",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-011,11,150 ug/mL PlastMix,2,11,"Calibration, excluded",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-012,12,0 ug/mL PlastMix,2,12,Calibration,2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-013,13,50 ug/mL PlastMix,2,1,"Calibration, not measured",2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-014,14,0 ug/mL PlastMix,2,1,Calibration,2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
Unknown,Pyro_Plast-015,15,0 ug/mL PlastMix,2,2,Calibration,2019-07-04,meth/gcms.meth,meth/pyroprobe.m6200,meth/peakident.ocm
