ID,File,Sample,TG,TCC,TCH,TM
1,11136,PE Std. 1,ND,NA,96.8,108
2,11152,MDPE Std. Alfa A.,ND,NA,100.4,109
3,11153,HDPE Std.  Alfa A.,ND,NA,116.3,126.7
4,11154,LLDPE Std. Aldrich,ND,NA,107.7,123
5,11155,PE BAM,ND,NA,115.5,133.4
6,11156,PE UBA black,ND,NA,116.6,130.1
12,11162,Site 8 Perforated,ND,NA,100.6,117.4
13,11164,Site 7 Perforated,ND,NA,109.1,119.9
14,11165,Site 5 Fleece,ND,NA,96.3,107.6
15,11166,Site 5 Perforated,ND,NA,102,110.4
16,11167,Site 2/3 Mulch,ND,NA,113.1,122.4
17,11168,Site 1 Fleece,ND,NA,114,159.5
18,11170,Site 2 Fleece,ND,NA,115.8,157.6
