Ion [m/z],Intensity [%]
50.25,0.027
51.07,0.213
52.06,0.172
53.06,2.657
54.09,8.477
55.08,43.264
56.12,8.996
57.1,17.766
59.03,100.00
60.09,14.862
61.1,0.553
62.14,0.06
63.11,0.088
64.05,0.035
65.06,0.87
66.07,0.683
67.04,8.919
68.08,2.999
69.07,16.45
70.16,3.348
71.06,3.616
72.03,38.469
73.08,4.23
74.11,0.211
75.05,0.061
75.67,0.016
77.04,0.671
77.97,0.193
79.07,2.484
80.07,0.965
81.08,7.878
82.1,4.577
83.09,10.968
84.1,3.41
85.13,2.275
86.07,6.431
87.07,0.936
88.04,0.072
88.92,0.029
90.3,0.055
91.07,0.507
92.27,0.211
93.17,0.944
94.13,0.797
94.65,0.589
95.19,4.442
96.16,3.203
97.12,6.799
98.11,4.831
99.15,1.277
100.08,3.555
101.14,0.927
102.21,0.099
103.15,0.039
104.23,0.044
105.07,0.268
106.1,0.159
107.12,0.832
108.07,0.571
109.06,3.487
110.14,2.022
111.16,3.446
112.11,4.103
113.13,1.35
114.09,4.377
115.1,0.821
116.09,0.10
116.99,0.032
117.91,0.034
119.06,0.45
120.1,0.158
120.61,0.062
121.25,0.817
122.2,0.563
123.11,1.745
124.15,1.023
125.17,1.518
126.07,4.346
127.07,0.958
128.07,3.31
129.11,0.321
130.05,0.045
130.95,0.035
131.88,0.055
132.79,0.328
133.31,0.235
134.22,0.351
135.17,0.901
136.16,0.518
137.07,1.311
138.12,0.905
139.12,0.923
140.1,1.803
141.13,0.367
142.09,1.212
143.19,0.189
144.17,0.054
144.92,0.036
146.01,0.073
147.03,0.449
148.2,0.258
149.16,0.497
150.16,0.221
151.09,0.914
152.13,0.77
153.13,0.778
154.14,1.608
155.21,0.269
156.12,0.882
157.15,0.155
158.26,0.01
159.25,0.036
160.13,0.018
161.04,0.29
162.19,0.194
163.15,0.365
164.33,0.27
165.17,0.433
166.12,0.41
167.01,0.32
167.53,0.076
168.14,0.587
169.48,0.325
170.22,0.494
171.21,0.124
172.32,0.022
173.02,0.015
174.39,0.024
175.1,0.212
176.04,0.045
176.82,0.201
177.46,0.157
178.38,0.132
179.17,0.317
180.19,0.244
181.13,0.175
181.83,0.29
182.43,0.282
183.36,0.155
184.11,0.653
185.01,0.08
185.79,0.029
186.56,0.011
187.36,0.012
188.23,0.021
189.14,0.158
190.11,0.021
190.65,0.023
191.19,0.142
192.13,0.151
193.08,0.321
193.96,0.24
194.61,0.102
195.26,0.162
196.21,0.366
197.23,0.05
198.13,0.505
199.26,0.118
200.18,0.028
200.94,0.009
201.61,0.003
202.82,0.063
203.53,0.097
204.17,0.058
205.09,0.113
205.93,0.087
206.82,0.581
207.33,0.294
208.13,0.316
209.05,0.24
210.14,0.394
211.15,0.075
211.69,0.141
212.23,0.351
213.13,0.09
214.18,0.025
215.06,0.009
216.23,0.008
217.14,0.082
218.19,0.057
219.38,0.086
220.18,0.08
221.08,0.437
222.1,0.433
223.14,0.139
223.91,0.187
224.43,0.204
225.41,0.16
226.22,0.334
227.13,0.072
228.11,0.008
229.1,0.009
229.72,0.006
231.22,0.054
232.35,0.022
233.2,0.043
234.03,0.13
235.11,0.399
236.16,0.446
237.26,0.149
238.26,0.372
239.15,0.082
239.79,0.32
240.31,0.558
241.22,0.176
241.89,0.016
242.71,0.011
243.24,0.002
244.1,0.014
245.02,0.039
245.89,0.04
246.85,0.039
247.88,0.072
248.82,0.376
249.51,0.313
250.29,0.282
251.2,0.047
252.19,0.335
253.16,0.157
254.15,0.525
255.16,0.152
256.39,0.002
257.19,0.008
257.9,0.003
258.97,0.03
260.1,0.052
260.98,0.02
262.27,0.119
263.13,0.607
263.8,0.038
264.3,0.314
265.13,0.09
266.16,0.229
266.96,0.073
267.94,0.188
268.73,0.059
269.38,0.044
270.55,0.004
271.64,0.01
272.74,0.023
273.3,0.059
274.07,0.018
274.94,0.026
276.17,0.242
277.19,0.614
278.26,0.454
279.22,0.133
279.92,0.082

