Ion [m/z],Intensity [%]
26,8
27,217
28,93
29,423
30,29
39,195
40,45
41,999
42,174
43,488
44,24
51,8
52,13
53,117
54,325
55,913
56,311
57,253
58,15
65,29
66,18
67,258
68,106
69,465
70,229
71,63
77,25
78,5
79,83
80,67
81,159
82,150
83,314
84,137
85,25
91,28
92,30
94,94
95,84
96,143
97,252
98,105
99,5
105,17
106,5
107,23
108,84
109,41
110,105
111,79
112,72
119,13
120,24
121,18
122,479
123,110
124,84
125,26
126,16
133,6
134,27
135,15
136,391
137,100
138,61
139,11
140,5
148,15
150,155
151,42
152,46
153,6
163,5
164,98
165,23
166,33
178,91
179,18
180,29
192,77
193,14
194,12
206,90
207,16
208,12
220,123
221,24
222,12
234,77
235,17
248,18
262,14
263,75
264,14

