Ion [m/z],Intensity [%]
50.48,0.37
51.12,0.554
52.17,0.999
53.05,6.484
54.07,30.019
55.07,100.00
56.12,32.115
57.11,34.119
58.1,3.511
59.18,0.532
60.05,0.253
60.95,0.272
62.07,0.082
62.96,0.242
64.15,0.345
65.1,2.326
66.12,1.601
67.07,16.234
68.09,8.128
69.06,36.545
70.1,15.563
71.15,6.824
71.77,0.099
72.29,0.829
73.0,1.203
73.92,0.454
74.85,0.38
75.56,0.217
76.5,0.575
77.09,1.616
78.01,0.933
79.1,9.285
80.21,3.092
81.06,11.612
82.08,16.558
83.11,29.657
84.18,9.871
85.15,4.092
86.27,0.341
88.47,0.149
89.35,0.419
90.04,0.032
91.06,1.959
91.95,0.551
92.47,0.319
93.08,3.565
94.09,4.728
95.17,6.842
96.14,12.958
97.11,24.195
98.14,7.449
99.14,0.926
100.21,0.336
101.35,0.07
101.9,0.194
103.01,0.309
104.03,0.306
105.08,0.767
106.56,1.616
107.45,1.95
108.17,3.443
109.22,2.925
110.22,8.474
111.11,8.385
112.14,3.416
113.13,0.567
113.95,0.216
114.98,0.239
115.95,0.126
116.92,0.326
117.66,0.17
118.17,0.24
119.09,0.887
120.1,1.559
120.98,1.383
121.67,3.782
122.19,14.693
123.17,4.823
124.1,5.799
125.19,3.457
126.22,1.709
127.1,0.307
128.58,0.122
129.53,0.298
130.5,0.172
131.5,0.337
132.55,0.303
133.13,1.117
133.8,0.466
134.37,1.309
135.62,6.294
136.21,13.351
137.15,5.328
138.17,5.417
139.11,1.968
140.04,1.516
140.92,0.083
141.44,0.124
142.23,0.062
142.79,0.113
143.31,0.148
144.63,0.054
145.34,0.014
146.39,0.101
147.18,1.077
148.13,1.739
149.41,2.141
150.12,8.094
151.02,3.393
152.04,6.563
153.06,0.864
154.12,0.806
154.87,0.113
155.48,0.017
156.32,0.071
157.12,0.114
157.67,0.053
158.24,0.024
159.09,0.045
159.68,0.034
160.84,0.274
161.75,0.526
162.46,0.626
163.18,0.417
164.1,5.598
165.17,1.378
166.12,3.646
167.25,1.05
168.23,0.41
169.07,0.148
169.69,0.011
170.28,0.022
171.49,0.026
172.17,0.039
173.26,0.072
173.79,0.021
175.03,0.432
175.94,0.371
176.6,0.506
177.24,0.419
178.1,4.323
179.17,1.244
180.17,3.314
181.17,0.753
182.42,0.215
183.25,0.046
184.11,0.016
185.74,0.006
186.45,0.083
187.88,0.137
188.91,0.213
189.98,0.165
190.98,0.975
192.15,4.601
193.0,1.48
194.23,1.755
195.24,0.929
196.31,0.287
197.53,0.096
198.24,0.047
199.05,0.062
199.76,0.011
200.9,0.018
201.78,0.042
202.59,0.176
203.58,0.193
204.2,0.155
205.53,0.843
206.18,3.597
207.05,5.807
208.19,2.14
209.19,0.952
210.06,0.277
211.26,0.11
211.9,0.025
213.28,0.168
214.07,0.038
214.67,0.038
215.78,0.079
217.09,0.042
218.21,0.32
219.88,3.099
220.56,2.277
221.17,1.192
221.99,1.148
222.86,0.942
223.84,0.12
224.57,0.076
225.58,0.135
226.7,0.034
227.7,0.184
228.59,0.11
229.43,0.033
230.28,0.075
231.03,0.136
231.95,0.193
234.15,5.391
235.08,1.348
235.67,0.034
236.22,0.775
236.99,0.45
237.93,0.117
238.84,0.009
239.36,0.139
239.98,0.046
241.32,0.031
242.5,0.119
243.37,0.058
244.02,0.016
244.95,0.08
245.77,0.077
246.92,0.10
248.17,3.482
249.16,1.376
250.14,0.61
250.77,0.098
252.02,0.123
253.64,0.043
254.55,0.016
255.9,0.021
257.01,0.084
257.62,0.032
258.93,0.169
259.72,0.062
260.59,0.079
262.17,3.313
263.28,1.014
264.02,0.533
265.21,0.119
266.13,0.075
267.18,0.442
268.48,0.009
273.28,0.033
273.91,0.049
274.6,0.226
275.34,0.075
276.24,3.535
277.16,1.124
277.81,0.326
278.4,0.799
279.02,0.047
279.61,0.176

