Ion [m/z],Intensity [%]
50.37,1.907
51.17,2.416
52.16,2.296
53.11,6.977
54.41,14.594
55.13,54.747
56.14,21.606
57.1,68.791
58.14,3.987
59.07,30.908
60.07,100.00
61.1,21.939
61.72,0.073
62.25,1.229
63.33,1.003
64.01,0.342
65.18,2.188
66.03,1.026
67.09,9.293
68.06,6.212
68.74,6.358
69.27,14.298
70.18,8.308
71.12,21.692
72.13,2.465
73.0,27.127
74.15,5.231
75.19,1.14
76.74,3.893
77.46,2.315
78.06,0.957
78.65,1.225
79.24,3.798
80.37,3.021
81.09,9.91
82.12,6.017
83.08,16.378
84.1,11.418
85.12,18.476
86.58,3.594
87.2,6.322
88.16,1.366
89.01,3.103
89.86,0.174
90.99,2.766
92.17,0.452
93.03,1.837
94.11,1.414
94.64,0.218
95.2,8.608
96.05,6.018
97.07,14.39
97.93,6.102
98.53,2.173
99.16,1.99
99.76,0.428
100.62,1.147
101.13,4.569
102.06,34.446
102.99,2.702
103.77,0.597
104.44,0.304
105.0,0.912
105.53,0.404
106.55,1.132
107.12,1.405
108.05,1.874
108.77,1.671
109.3,5.157
110.28,3.26
111.18,3.604
111.97,0.372
112.6,1.55
113.16,0.505
114.11,1.425
115.13,6.323
116.02,1.831
117.17,0.728
118.21,0.427
119.09,1.882
119.71,0.179
120.54,0.514
121.45,0.572
122.24,0.619
122.98,1.601
124.08,1.173
124.93,1.819
125.57,1.108
126.19,1.139
127.15,0.613
127.95,1.164
129.03,8.665
130.12,0.764
131.12,0.824
131.88,0.348
132.74,0.889
133.38,0.557
134.44,0.408
135.19,0.777
135.75,0.07
136.32,0.185
137.17,0.155
138.01,1.899
138.95,1.207
139.85,0.98
140.94,1.826
142.0,1.573
143.2,3.154
144.46,1.074
145.79,0.651
146.92,1.068
148.11,0.796
149.02,1.562
150.06,0.478
151.38,0.228
152.22,0.325
153.17,0.254
153.83,0.103
154.68,0.595
155.93,0.367
157.16,8.534
158.22,0.937
159.24,0.237
159.97,0.077
161.43,0.51
162.35,0.427
163.06,1.883
163.97,1.703
164.65,1.382
165.44,0.132
166.5,0.597
167.48,0.182
168.05,0.234
168.64,0.20
169.51,0.39
170.44,0.661
171.14,3.699
172.16,0.964
173.16,0.148
174.18,0.313
175.23,0.906
177.0,0.914
177.96,0.979
178.48,0.441
179.26,0.213
180.28,0.374
181.02,1.459
181.76,0.618
183.09,18.912
184.22,1.96
185.01,0.941
185.68,0.189
186.29,0.139
187.46,0.101
188.24,0.141
188.76,0.05
190.3,0.084
191.22,0.421
192.8,1.759
193.44,0.63
195.0,0.461
195.55,0.305
196.11,0.43
196.93,0.112
197.82,0.152
198.82,0.217
199.85,13.222
200.58,13.108
201.33,7.708
202.21,3.00
203.3,0.107
204.38,0.08
205.08,0.147
206.23,0.797
207.09,3.854
207.97,0.579
208.88,1.016
209.55,0.098
210.84,0.157
211.35,0.177
212.2,0.152
212.96,0.045
213.73,0.17
214.34,0.05
215.47,0.161
216.15,0.311
217.09,0.19
218.11,0.659
218.84,0.136
219.4,0.243
220.51,0.627
221.15,1.167
221.78,0.361
223.46,1.048
224.24,0.344
225.45,0.316
226.42,0.024
226.95,0.063
227.72,0.19
228.34,0.076
228.88,0.065
230.07,0.024
231.21,0.033
232.24,0.067
233.3,0.058
234.21,0.131
235.59,0.236
236.97,0.914
237.64,0.434
238.42,0.114
239.2,0.151
239.83,0.174
241.49,0.269
242.06,0.228
243.0,0.04
243.78,0.082
245.48,0.09
246.15,0.218
247.01,0.045
247.62,0.111
248.56,0.095
249.33,0.259
250.2,0.194
251.27,0.313
252.2,0.18
253.2,0.387
253.94,0.042
255.33,0.392
256.08,0.127
256.7,0.104
257.34,0.161
259.21,0.056
259.96,0.034
263.35,0.369
264.26,0.093
265.07,0.395
266.83,0.566
267.59,0.415
268.2,0.019
269.14,0.048
270.09,0.114
272.29,0.327
273.02,0.149
273.55,0.215
274.4,0.04
275.01,0.06
276.18,0.065
278.13,0.227
279.18,0.644
279.87,0.015

