Ion [m/z],Intensity [%]
15,4
26,1
27,22
28,8
29,75
30,1
38,2
39,48
40,5
41,158
42,5
43,9
45,1
46,2
50,5
51,25
52,9
53,18
54,1
55,23
56,4
57,324
58,13
59,2
60,23
62,2
63,12
64,10
65,25
66,16
67,8
69,2
70,1
72,7
73,29
74,57
75,4
76,3
77,42
78,9
79,18
80,3
81,2
87,5
88,20
89,8
90,3
91,56
92,6
93,5
94,3
95,8
101,1
102,4
103,12
104,4
105,21
106,4
107,37
108,3
109,2
114,1
115,39
116,13
117,18
118,4
119,14
120,5
121,14
122,1
123,2
126,1
127,8
128,21
129,12
130,3
131,11
132,5
133,18
134,7
135,25
136,3
139,1
141,8
142,5
143,8
144,3
145,6
146,3
147,22
148,8
149,9
150,3
153,1
155,1
157,2
158,2
159,3
160,2
161,20
162,3
163,49
164,6
173,1
175,41
176,7
177,8
178,1
189,3
190,2
191,999
192,143
193,11
205,1
206,155
207,23
208,2

