Ion [m/z],Intensity [%]
50.3,0.258
51.11,2.549
52.0,1.053
52.54,0.19
53.14,2.358
54.11,0.493
55.06,4.573
56.06,0.986
57.1,45.327
58.13,2.288
59.08,0.424
60.11,2.352
61.26,0.168
62.09,0.389
63.09,1.261
63.62,0.144
64.12,0.778
65.06,3.109
66.08,1.268
66.99,1.027
68.33,0.18
69.14,0.436
69.88,0.242
70.85,0.272
72.1,0.947
73.05,3.251
74.03,6.511
75.03,0.756
76.0,0.489
77.05,4.87
78.05,1.537
79.05,2.465
80.09,0.447
80.72,0.128
81.32,0.303
82.39,0.054
83.22,0.185
84.1,0.271
85.18,0.198
86.18,0.263
86.98,0.363
88.04,2.028
89.05,0.736
90.51,1.82
91.14,4.957
92.18,0.638
93.01,0.662
93.91,0.442
95.1,0.867
96.05,0.155
96.72,0.07
97.31,0.159
98.23,0.075
99.11,0.106
99.79,0.079
100.96,0.286
102.0,0.675
102.63,0.318
103.28,1.185
104.23,0.43
105.08,2.454
106.1,0.365
106.63,1.025
107.2,3.076
108.08,0.44
109.07,0.24
109.93,0.136
110.59,0.135
111.16,0.227
112.5,0.073
113.42,0.118
114.44,0.635
115.1,4.031
116.08,1.526
117.04,1.858
117.93,0.391
118.66,0.78
119.16,1.27
120.26,0.606
121.06,1.741
121.97,0.164
123.15,0.335
124.24,0.183
125.26,0.071
125.95,0.288
127.06,0.992
128.02,2.574
129.03,1.17
130.03,0.445
131.05,1.203
132.17,0.586
133.01,2.181
134.0,0.605
135.08,1.991
135.87,0.175
136.47,0.18
137.33,0.104
138.23,0.045
139.07,0.139
140.55,0.092
141.1,0.748
142.06,0.606
142.79,0.368
143.36,0.537
144.04,0.176
144.84,0.38
145.45,0.314
146.67,0.882
147.19,1.783
148.21,0.898
149.27,0.693
150.04,0.222
150.86,0.117
151.39,0.012
152.46,0.094
153.23,0.205
154.14,0.121
155.15,0.213
156.11,0.134
157.15,0.262
157.83,0.078
158.58,0.098
159.43,0.41
160.2,0.274
161.04,1.93
162.2,0.468
163.08,5.376
164.18,0.752
165.31,0.15
166.2,0.012
166.86,0.04
167.48,0.026
168.42,0.009
169.09,0.043
169.75,0.051
170.34,0.038
171.67,0.101
173.13,0.161
174.01,0.218
175.05,4.388
176.1,0.735
177.14,0.291
177.87,0.004
179.05,0.082
179.98,0.012
180.83,0.049
181.69,0.015
182.49,0.097
183.41,0.021
184.05,0.033
184.86,0.093
185.39,0.066
186.42,0.108
187.41,0.229
188.11,0.076
188.9,0.803
189.7,0.761
191.07,100.00
192.13,13.173
193.17,0.948
194.08,0.133
195.1,0.003
195.81,0.016
196.67,0.034
197.88,0.004
199.07,0.002
199.8,0.036
200.51,0.058
201.25,0.016
201.98,0.042
203.23,0.083
203.86,0.079
204.68,0.123
206.08,16.741
207.17,2.126
208.1,0.456
208.99,0.081
209.86,0.093
210.77,0.036
211.4,0.004
212.57,0.008
213.46,0.008
214.22,0.004
215.07,0.05
216.13,0.023
217.35,0.031
217.98,0.022
218.9,0.022
221.02,0.23
222.19,0.019
223.21,0.037
224.01,0.01
224.69,0.084
227.29,0.027
228.29,0.016
229.61,0.013
230.35,0.011
231.35,0.008
232.2,0.003
233.01,0.009
233.54,0.01
234.42,0.043
235.35,0.036
236.05,0.021
236.95,0.066
237.69,0.021
238.54,0.028
239.05,0.048
240.09,0.054
240.79,0.004
242.34,0.011
243.51,0.005
244.21,0.051
244.82,0.019
245.64,0.028
246.95,0.031
247.78,0.048
249.32,0.042
250.07,0.004
250.75,0.009
251.31,0.02
251.88,0.013
252.54,0.004
253.2,0.017
254.21,0.007
254.77,0.006
255.81,0.024
256.77,0.031
257.71,0.023
258.41,0.004
259.13,0.011
260.36,0.016
261.47,0.02
262.14,0.006
262.69,0.012
264.41,0.011
265.15,0.04
265.78,0.019
266.84,0.093
270.14,0.003
271.27,0.038
271.85,0.031
272.48,0.029
273.4,0.006
274.04,0.014
274.79,0.014
275.29,0.016
276.78,0.01
278.96,0.008

