++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
ASCII Report
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Name: Pyro_PlastSolve-508
Data Name: 
Operator: Xcalibur_System
Date: 2021/03/06
Info: 
Misc: 
Misc (separated): 
Details: 
Scans: 7610
Start RT (min): 4.00155
Stop RT (min): 33.99975
Barcode: 

>>>

Operator: Xcalibur_System
Misc Info: 
Sample Weight: 0.0
Data Name: 
Barcode: 
Detailed Info: 
Sample Group: 
Sample Weight Unit: 
Misc Info Separated: 
Date: 2021/03/06 09:55:40
Short Info: 
Barcode Type: 
------------------------------

NAME: Pyro_PlastSolve-508
TYPE: MSD
------------------------------
Integrated Chromatogram Area: 0.0
Integrated Background Area: 0.0
Integrated Peak Area: 3109257563.41408


PEAK LIST OVERVIEW
------------------------------
[#]	RT (Min)	RI	Start RT (Min)	Stop RT (Min)	Tailing	Width (at 50% peak height by inflection points)	Integrated Area	S/N	Leading	Tailing	Scan #	Purity	Integrator	Detector	Model	Trace ...
[1]	4.20262	806.41302	4.16693	4.29712	1.25676	0.05877	1133050.68317	34.65332	0.7957	1.25676	52	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[2]	4.33255	813.20868	4.30105	4.39948	1.73205	0.0289	1129644.22808	67.76934	0.57735	1.73205	85	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[3]	4.53725	823.91473	4.4862	4.62005	1.13737	0.04122	323769.37887	12.03591	0.87922	1.13737	137	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[4]	4.69868	832.35791	4.66327	4.71458	0.82339	0.02152	56608.47714	5.51934	1.21449	0.82339	178	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[5]	4.81692	838.54169	4.76172	4.85625	1.35133	0.02622	6619702.57224	458.69055	0.74001	1.35133	208	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[6]	4.91147	843.48676	4.86015	4.96667	0.86331	0.04633	2492464.46914	98.36878	1.15833	0.86331	232	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[7]	4.99037	847.61334	4.97057	5.08463	0.75653	0.03548	2255670.31166	122.41437	1.32182	0.75653	252	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[8]	5.12005	854.39594	5.0888	5.15157	1.20179	0.02275	242771.88	19.1326	0.83209	1.20179	285	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[9]	5.18698	857.89661	5.15573	5.23412	2.03	0.02807	1046529.53455	64.29696	0.49261	2.03	302	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[10]	5.25808	861.61523	5.23828	5.32083	0.9649	0.02437	389174.8267	28.36326	1.03638	0.9649	320	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[11]	5.40338	869.2146	5.36823	5.44297	1.06229	0.02238	111317.04008	7.85773	0.94137	1.06229	357	1.0	Trapezoid	First Derivative		70.0 126.0 ...
[12]	5.51433	875.01746	5.4862	5.54558	7.91259	0.04722	734885.58	43.27486	0.12638	7.91259	384	0.5	Trapezoid	First Derivative		109.0 ...
[13]	5.644	881.79919	5.62058	5.731	1.28152	0.02448	460724.34152	30.15193	0.78032	1.28152	417	0.5	Trapezoid	First Derivative		109.0 ...
[14]	5.77813	888.81451	5.7349	6.25053	1.13295	0.0208	2559282776.63366	203579.46875	0.88265	1.13295	451	0.5	Trapezoid	First Derivative		109.0 ...
[15]	5.82137	891.07568	5.7388	6.19142	1.38662	0.0271	144415403.34631	7838.81348	0.72118	1.38662	462	0.5	Trapezoid	First Derivative		104.0 ...
[16]	6.34897	917.56738	6.29792	6.3922	0.65193	0.03012	263935.43239	13.71823	1.53391	0.65193	596	0.5	Trapezoid	First Derivative		104.0 ...
[17]	6.43152	921.62994	6.3922	6.58517	1.24349	0.02953	4957369.67658	253.26105	0.80419	1.24349	617	0.5	Trapezoid	First Derivative		109.0 ...
[18]	6.47108	923.57715	6.43932	6.49452	0.99153	0.0218	139244.13559	11.41574	1.00854	0.99153	627	0.5	Trapezoid	First Derivative		104.0 ...
