Sample Type,File Name,Sample ID,Sample Name,Dil Factor,Inj Vol,Position,Comment,Date,Instrument Method,Pyroprobe method,Processing method
Unknown,Pyro_Plast-263,263,Site 1,0,0,1,300 °C,2019-10-11,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-264,264,Site 1,0,0,1,750 °C,2019-10-11,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_Plast-265,265,Site 2,0,0,2,300 °C,2019-10-11,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-266,266,Site 2,0,0,2,750 °C,2019-10-11,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_Plast-267,267,Site 2/3,0,0,3,300 °C,2019-10-11,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-268,268,Site 2/3,0,0,3,750 °C,2019-10-11,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_Plast-269,269,Site 5 Fleece,0,0,4,300 °C,2019-10-12,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-270,270,Site 5 Fleece,0,0,4,750 °C,2019-10-12,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_Plast-271,271,Site 5 Perforated foil,0,0,5,300 °C,2019-10-12,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-272,272,Site 5 Perforated foil,0,0,5,750 °C,2019-10-12,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_Plast-273,273,Site 7,0,0,6,300 °C,2019-10-12,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-274,274,Site 7,0,0,6,750 °C,2019-10-12,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_Plast-275,275,Site 8,0,0,7,300 °C,2019-10-12,meth/pyroscan.meth,meth/volatiles.m6200,
Unknown,Pyro_Plast-276,276,Site 8,0,0,7,750 °C,2019-10-12,meth/pyroscan.meth,meth/pyrosolid.m6200,
Unknown,Pyro_PlastSolve-468,469,0 ug/mL PlastMix with PS-d5,1,2,1,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-469,470,"2 ug/mL PlastMix with PS-d5, LOD blank",1,2,2,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-470,471,"2 ug/mL PlastMix with PS-d5, LOD blank",1,2,3,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-471,472,"2 ug/mL PlastMix with PS-d5, LOD blank",1,2,4,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-472,473,5 ug/mL PlastMix with PS-d5,1,2,5,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-473,474,10 ug/mL PlastMix with PS-d5,1,2,6,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-474,475,20 ug/mL PlastMix with PS-d5,1,2,7,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-475,476,50 ug/mL PlastMix with PS-d5,1,2,8,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-476,477,100 ug/mL PlastMix with PS-d5,1,2,9,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-477,478,150 ug/mL PlastMix with PS-d5,1,2,1,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-478,479,200 ug/mL PlastMix with PS-d5,1,2,2,,2021-03-29,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-479,480,ZS-1400,1,2,1,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-480,481,ZS-1401,1,2,2,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-481,482,ZS-1402,1,2,3,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-482,483,100 ug/mL PlastMix with PS-d5,1,2,4,Quartz tube displaced,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-483,484,ZS-1403,1,2,5,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-484,485,ZS-1404,1,2,6,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-485,486,ZS-1405,1,2,7,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-486,487,ZS-1406,1,2,8,Quartz tube displaced,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-487,488,100 ug/mL PlastMix with PS-d5,1,2,9,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-488,489,ZS-1407,1,2,10,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-489,490,ZS-1408,1,2,11,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-490,491,ZS-1409,1,2,12,,2021-03-30,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-491,492,ZS-1410,1,2,13,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-492,493,ZS-1411,1,2,14,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-493,494,ZS-1412,1,2,15,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-494,495,100 ug/mL PlastMix with PS-d5,1,2,16,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-495,496,ZS-1413,1,2,17,Quartz tube displaced,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-496,497,ZS-1414,1,2,18,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-497,498,ZS-1415,1,2,19,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-498,499,ZS-1416,1,2,20,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-499,500,100 ug/mL PlastMix with PS-d5,1,2,21,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-500,501,ZS-1417,1,2,22,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
Unknown,Pyro_PlastSolve-501,502,ZS-1418,1,2,23,,2021-03-31,meth/plastsolve.meth,meth/plastsolve.m6200,meth/peakident.ocm
