Series,No,Site,Replicate,Type,SDateTime,Position,Method,N,C
2018_09_24_Zacharias_unbegast_e,16,1,1,total,2018-09-24,15,soil neu2,0.136984378099442,1.30408442020416
2018_09_24_Zacharias_unbegast_e,17,1,2,total,2018-09-24,16,soil neu2,0.141969338059425,1.32107782363892
2018_09_25_Buhk-Zacharias_begast_e,64,1,1,organic,2018-09-26,63,soil neu2,0.198310077190399,1.34856963157654
2018_09_25_Buhk-Zacharias_begast_e,65,1,2,organic,2018-09-26,64,soil neu2,0.20525598526001,1.32234275341034
2018_09_24_Zacharias_unbegast_e,18,2,1,total,2018-09-24,17,soil neu2,0.13889217376709,1.30641865730286
2018_09_24_Zacharias_unbegast_e,19,2,2,total,2018-09-24,18,soil neu2,0.138420686125755,1.30172479152679
2018_09_24_Zacharias_unbegast_e,20,2,3,total,2018-09-24,19,soil neu2,0.140336066484451,1.33021712303162
2018_09_25_Buhk-Zacharias_begast_e,66,2,1,organic,2018-09-26,65,soil neu2,0.193377435207367,1.12509298324585
2018_09_25_Buhk-Zacharias_begast_e,67,2,2,organic,2018-09-26,66,soil neu2,0.200329288840294,1.11228668689728
2018_09_24_Zacharias_unbegast_e,21,3,1,total,2018-09-24,20,soil neu2,0.148381128907204,1.43005990982056
2018_09_24_Zacharias_unbegast_e,22,3,2,total,2018-09-24,21,soil neu2,0.149569600820541,1.42562592029572
2018_09_25_Buhk-Zacharias_begast_e,68,3,1,organic,2018-09-26,67,soil neu2,0.179848954081535,1.19312632083893
2018_09_25_Buhk-Zacharias_begast_e,69,3,2,organic,2018-09-26,68,soil neu2,0.189900174736977,1.21220254898071
2018_09_24_Zacharias_unbegast_e,23,4,1,total,2018-09-24,22,soil neu2,0.099477663636208,1.0512992143631
2018_09_24_Zacharias_unbegast_e,24,4,2,total,2018-09-24,23,soil neu2,0.102065898478031,1.07732367515564
2018_09_25_Buhk-Zacharias_begast_e,70,4,1,organic,2018-09-26,69,soil neu2,0.11620207875967,0.909990012645721
2018_09_25_Buhk-Zacharias_begast_e,71,4,2,organic,2018-09-26,70,soil neu2,0.103631250560284,0.944744944572449
2018_09_24_Zacharias_unbegast_e,27,5,1,total,2018-09-24,26,soil neu2,0.097379229962826,1.06225192546844
2018_09_24_Zacharias_unbegast_e,28,5,2,total,2018-09-24,27,soil neu2,0.101683050394058,1.07367753982544
2018_09_25_Buhk-Zacharias_begast_e,74,5,1,organic,2018-09-26,73,soil neu2,0.121329978108406,0.884797096252441
2018_09_25_Buhk-Zacharias_begast_e,75,5,2,organic,2018-09-26,74,soil neu2,0.115009739995003,0.877558708190918
2018_09_24_Zacharias_unbegast_e,25,6,1,total,2018-09-24,24,soil neu2,0.178436532616615,1.55795204639435
2018_09_24_Zacharias_unbegast_e,26,6,2,total,2018-09-24,25,soil neu2,0.170108020305634,1.55457675457001
2018_09_25_Buhk-Zacharias_begast_e,72,6,1,organic,2018-09-26,71,soil neu2,0.275916427373886,1.41774439811707
2018_09_25_Buhk-Zacharias_begast_e,73,6,2,organic,2018-09-26,72,soil neu2,0.190991073846817,1.42331910133362
2018_09_24_Zacharias_unbegast_e,29,7,1,total,2018-09-24,28,soil neu2,0.174803704023361,1.5568767786026
2018_09_24_Zacharias_unbegast_e,30,7,2,total,2018-09-24,29,soil neu2,0.184377610683441,1.55131554603577
2018_09_25_Buhk-Zacharias_begast_e,76,7,1,organic,2018-09-26,75,soil neu2,0.178833097219467,1.44497454166412
2018_09_25_Buhk-Zacharias_begast_e,77,7,2,organic,2018-09-26,76,soil neu2,0.202810749411583,1.4659937620163
2018_09_24_Zacharias_unbegast_e,31,8,1,total,2018-09-24,30,soil neu2,0.155488237738609,1.61880934238434
2018_09_24_Zacharias_unbegast_e,32,8,2,total,2018-09-24,31,soil neu2,0.156195744872093,1.61351323127747
2018_09_25_Buhk-Zacharias_begast_e,78,8,1,organic,2018-09-26,77,soil neu2,0.161937788128853,1.38924872875214
2018_09_25_Buhk-Zacharias_begast_e,79,8,2,organic,2018-09-26,78,soil neu2,0.196134015917778,1.3919380903244
