Site,Replicate,Date,pH
1,1,2018-07-31,6.55
1,2,2018-07-31,6.55
1,3,2018-07-31,6.66
2,1,2018-07-31,6.68
2,2,2018-07-31,6.79
2,3,2018-07-31,6.8
3,1,2018-07-31,6.82
3,2,2018-07-31,6.78
3,3,2018-07-31,6.84
4,1,2018-07-31,6.74
4,2,2018-07-31,6.75
4,3,2018-07-31,6.75
5,1,2018-07-31,6.87
5,2,2018-07-31,6.9
5,3,2018-07-31,6.94
6,1,2018-07-31,6.75
6,2,2018-07-31,6.82
6,3,2018-07-31,6.82
7,1,2018-07-31,6.97
7,2,2018-07-31,6.87
7,3,2018-07-31,6.92
8,1,2018-07-31,6.98
8,2,2018-07-31,7.02
8,3,2018-07-31,7.02
