Site,Replicate,Date,Time,Hydrometer,Blank,Temperature
1,1,2018-06-29,2,41,3,24
1,1,2018-06-29,5,32,3,24
1,1,2018-06-29,15,27,3,24
1,1,2018-06-29,30,25,3,24
1,1,2018-06-29,61,23,3,24
1,1,2018-06-29,180,23,3,24
1,1,2018-06-29,242,21,3,24
1,3,2018-06-29,1,41,3,24
1,3,2018-06-29,2,36,3,24
1,3,2018-06-29,9,30,3,24
1,3,2018-06-29,19,28,3,24
1,3,2018-06-29,30,23,3,24
1,3,2018-06-29,60,22,3,24
1,3,2018-06-29,180,20,3,24
1,3,2018-06-29,240,19,3,24
1,2,2018-07-19,0.66,44,4,23
1,2,2018-07-19,2,39,4,23
1,2,2018-07-19,5,31,4,23
1,2,2018-07-19,15,25,4,23
1,2,2018-07-19,30,24,4,23
1,2,2018-07-19,60,23,4,23
1,2,2018-07-19,180,21,4,22
1,2,2018-07-19,240,17,4,22
2,1,2018-08-16,1,46,4,24
2,1,2018-08-16,2,41,4,24
2,1,2018-08-16,5,31,4,24
2,1,2018-08-16,15,24,4,24
2,1,2018-08-16,30,19,4,23
2,1,2018-08-16,60,16,4,23
2,1,2018-08-16,192,13,4,22
2,1,2018-08-16,241,12,4,22
2,2,2018-08-16,0.8,44,4,24
2,2,2018-08-16,2,37,4,24
2,2,2018-08-16,5,32,4,24
2,2,2018-08-16,15,26,4,23
2,2,2018-08-16,30,18,4,23
2,2,2018-08-16,60,15,4,23
2,2,2018-08-16,192,13,4,22
2,2,2018-08-16,241,11,4,22
2,3,2018-08-16,1.08333333333333,39,4,23
2,3,2018-08-16,2,30,4,23
2,3,2018-08-16,5,26,4,23
2,3,2018-08-16,15,21,4,23
2,3,2018-08-16,30,18,4,23
2,3,2018-08-16,60,16,4,23
2,3,2018-08-16,180,14,4,22
2,3,2018-08-16,240,13,4,22
3,1,2018-07-19,0.66,55,4,23
3,1,2018-07-19,2,47,4,23
3,1,2018-07-19,5,39,4,23
3,1,2018-07-19,15,31,4,23
3,1,2018-07-19,30,27,4,23
3,1,2018-07-19,60,26,4,23
